Year,Month,Day,Letter,To,From,Mention Type,Sent.,About
55,2,,Q. fr. 2.7,Quintus Cicero,Cicero,Mention,1,Cicero asks Pompey about inscriptions in Quintus's honor. Asking a favor of Pompey: Positive. 
55,1,,Fam. 1.8,P. Lentulus Spinther,Cicero,Mention,1,"Cicero writes that he is affiliating himself with Pompey. Lentulus is well regarded by Pompey, too. Mentions great affection for Pompey.: Positive."
55,4,20,Att. 4.10,Atticus,Cicero,Mention,1,Cicero hints to Atticus (without naming specifically) that he must align with Pompey in the current political situation. Pompey asked Cicero to call on him; Cicero is going to visit him.
55,4,28,Att. 4.9,Atticus,Cicero,Mention,1,"Cicero writes about political discussion with Pompey, who called on him, and treated him very well."
55,4,,Att. 4.11,Atticus,Cicero,Mention,0,Cicero mentions Pompey and Crassus were going to Rome together to settle accounts.
55,10,,Fam. 7.1,M. Marius,Cicero,Reference,0,"I believe Cicero is describing games put on by Pompey in his second consulship, perhaps to celebrate the dedication of the Theater of Pompey. (Marius asked Cicero to make him feel better for having missed the games)."
,,,,,,,,
54,2,15,Q. fr. 2.11,Quintus Cicero,Cicero,Mention,-1,"""As to Pompey, I agree with you, or rather you agree with me. For, as you know, I have long been singing the praises of your Caesar. Believe me, he is very close to my heart, and I am not going to let him slip from his place."" -- Confusing!"
54,2,,Fam. 7.5,Caesar,Cicero,Mention,-1,Heavily pro-Caesar letter. Cicero recommends somebody to work under Caesar. Very layered with praise.
54,6,24,Att. 4.16,Atticus,Cicero,Mention,-1,Discusses magnificance of Caesar's rebuilding of Basilica Paulli. Mentions favor with Caesar. 
54,7,,Q. fr. 2.14,Quintus Cicero,Cicero,Mention,1,"Cicero mentions he is in favor of both Caesar and Pompey, and so his friends are not anxious of the coming year"
54,7,27,Att. 4.15,Atticus,Cicero,Mention,-1,Cicero talks about the messy political circumstances and the complications in elections. Is happy to have favor with Caesar; indicates Pompey is a demagogue. 
54,9,28,Q. fr. 3.1,Quintus Cicero,Cicero,Mention,-1,Cicero is happy that Quintus (and himself) have favor with Caesar. Mentions that he is acting carefully with Pompey. Mentions writing poem to Caesar. Mentions that he is slow to reconcile with Pompey (?) Mentions that Caesar is heald in his highest regard.
54,10,1,Att. 4.17,Atticus,Cicero,Mention,-1,"Cicero relates to Atticus the complicated and public scandal regarding the lex curiata and whether or not it was, or will be, passed. Pompey is implicated here."
